PLACE_NM,ADDR,FLAG_NM,BULD_PURPS_NM,ERA_NM,DC_CN,latitude,longitude,district
증심사,동구 증심사길 177,고건축물,사찰,고대 남북국 시대 통일 신라,"광주광역시 문화재자료 1호, 철감선사 도윤(798∼868)이 신라 헌안왕 4년(860)에 지었다고 함, 고려 선종 11년(1094년)에 혜조국사가 중수했으며 1443년(세종 25) 전라도관찰사 김오(金傲)가 자신의 녹봉으로 낡은 건물을 다시 고쳐 지음, 그 뒤 임진왜란으로 불에 타 없어지자 1609년(광해군 1) 석경(釋經)·수장(修裝)·도광(道光) 등의 선사들이 다시 지었고, 그 뒤에도 개·보수를 거듭함, 1951년 한국전쟁으로 대부분의 건물이 불타버려 1970년 대웅전을 시작으로 각종 부속 건물들을 차례로 복원, 2008년부터 지정된 템플스테이를 운영하는 사찰이기도 함",35.1324141,126.9615604,동구
증심사 약사암,동구 증심사길 160번길 89,고건축물,사찰,고대 남북국 시대 통일 신라,"광주광역시 문화재자료 제 2호, 철감선사(澈鑑禪師) 도윤(道允)이 증심사(證心寺)를 창건하기에 앞서 건립한 사찰로, 증심사를 세우기 직전인 850년경 ‘인왕사(人王寺) ’라는 이름으로 지었고, 고려 충렬왕 32년(1306)년 절을 고쳐 세우면서 ‘약사암 ’으로 이름을 바꿈, 경내의 건물로는 대웅전, 운림당, 운림선원, 강원(講院) 등이 있음, 한국전쟁으로 소실된 것을 1974∼1984년에 복원",,,동구
증심사 오백전,동구 증심사길 177,고건축물,사찰,조선시대,"광주광역시의 유형문화재 제13호, 증심사에 있는 조선시대의 불교 건축물로 6.25전쟁 당시 유일하게 증심사에서 소실되지 않은 건물, 오백전은 대웅전의 뒤편에 세워진 법당으로, 현재 무등산에 남아 있는 절 건물 중 가장 오래된 것, 조선시대에 오백전이 지어진 절은 전남지방에서는 증심사가 유일한 것이어서 더욱 귀중, 앞면 3칸·옆면 3칸 규모이며, 지붕 옆면이 사람 인(人)자 모양인 맞배지붕집, 지붕 처마를 받치면서 장식을 겸하는 공포가 기둥 위에만 있는 주심포양식임",35.1324141,126.9615604,동구
화담사,서구 화운로156번길 17-8,고건축물,사당,조선시대,"광주광역시 시도기념물 제18호, 조선 중기 문신인 정희 선생을 중앙에 모시고 좌우에 그의 아들 정초·손자 정수충과 정오도·민제장의 위패를 모시고 있는 사당, 처음에는 사경과 예법에 뛰어나고 청렴결백한 정수충의 영정을 모신 영당이였으나, 정조 8년(1784) 그의 위패를 함께 모시면서 사당의 격을 갖춤, 제사를 올리는 공간인 화담사는 앞면 3칸·옆면 1칸 규모의 건물로, 지붕은 옆면에서 보았을 때 사람 인(人)자 모양의 맞배지붕이며 앞쪽에는 넓은 마루가 있음",35.1530275,126.8783965,서구
광주향교,남구 중앙로107번길 5,고건축물,교육,조선시대,"광주광역시 유형문화재 제9호, 광주향교는 옛날 서석산(瑞石山) 현 무등산 서쪽 장원봉(壯元峰)아래에 세워졌으나, 호랑이가 자주 나타나서 성(城)의 동문(東門)안으로 옮겨 지어짐, 그러나 성종(成宗)19년 서기 1488년 현감(縣監) 권수평(權守平)이 이 곳 또한 지대가 낮고 수해가 자주 일어나서 지금의 자리에 옮겨지었으며, 그 후 선조(宣祖) 30년 서기 1597년 정유재란(丁酉再亂)때 왜적(倭賊)들에 의하여 불에 타 선조(宣祖) 33년 서기 1600년에 관(官)과 백성이 협력하여 다시 세우고 그 뒤 수차례의 보수(補修)를 함",35.1456673,126.9091607,남구
지산재,남구 지산재길 51,고건축물,사당,조선시대,"광주광역시 유형문화재 제10호, 1737년(영조 13)에 이곳에 영당을 건립하고 최치원의 영정을 봉안, 1846년(헌종 12) 지산사를 새로 건립하여 최치원을 주벽으로 하여 최운하·최향안 등을 모셔오다가 1886년(고종 23) 대원군의 서원철폐로 영당만이 남고 모두 철거, 그후 1922년 강당을 건립하고, 지산재라 이름을 바꾸고 최치원만을 배향",35.0834543,126.8741382,남구
양과동정,남구 이장동 266,고건축물,정자,조선시대,"광주광역시의 문화재자료 제12호, 이 정자는 이 곳 출신 인물들이 간관(諫官)으로 많이 진출하여 여기서 나라 일을 의논하였다고 해서 ‘간원대(諫院臺)’라고도 함, 세운 때는 정확히 알 수 없으나 양과동정(良瓜洞亭)이라는 글씨는 송시열(宋時烈,1607~1689)이 쓴 것, 이곳은 동약(洞約)과 향약(鄕約) 등의 시행처로도 사용되었으며, 보통 정자와는 다르게 마을 사람들이 모여서 지방자치를 위한 회합을 했던 곳, 정자는 정면 3칸, 측면 2칸의 맞배지붕 기와집으로 바람 막는 판이 설치되어 있음",35.0884653,126.8585893,남구
부용정,남구 칠석동 129번지,고건축물,정자,조선시대,"광주광역시 문화재자료 13호, 부용정은 고려 말에서 조선 초 무인으로 활약했던 김문발(金文發)[1359~1418]이 낙향하여 지역 인재들의 강학과 선비들의 시회장(詩會場), 향촌 규율과 민주적인 여론 수렴을 위한 향약의 집회 장소로 활용하기 위해 1411년에 건립, 광주 지역에서 처음 향약을 시행했던 뜻깊은 장소, 평지에 2단으로 대지를 고른 후 건립하였고 정면 3칸, 측면 3칸으로 기둥머리에 공포가 없는 민도리집이며, 우물마루를 깐 맞배지붕으로 민흘림기둥을 세웠으며 홑처마임",,,남구
포충사,남구 포충로 767,고건축물,사우,조선시대,"광주광역시 기념물 제 7호, 조선시대 의병장 고경명 등을 배향한 사우, 광주전남 지역 서원과 사우 중에서 장성 필암서원과 함께 흥선대원군 서원 철폐령[1868년, 고종 5] 때 훼철되지 않은 곳, 1601년(선조 34) 호남 지역 유학자들이 고경명 등을 기리기 위하여 지금 자리에 사당을 건립",35.0768873,126.8273065,남구
추원각,남구 압촌동 산14,고건축물,재각,조선시대,"추원각(追遠閣)은 장흥고씨 재각으로 고경명(高敬命)[1533~1592]을 추모하기 위하여 건립됨, 추원각은 장흥고씨 문중에서 고경명을 배향하기 위하여 고경명 가문에게 내려진 고씨삼강문(高氏三綱門) 옆에 지어짐, 팔작지붕 주심포 양식으로 지어졌으며, 조선 후기 건축 양식의 전형적인 건축물, 정면 4칸 측면 1칸으로 되어 있음",,,남구
