연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
1,숙박,관광호텔·호스텔,엠파이어관광호텔,Empire Tourist Hotel,2025-09-22,광주 광산구 월계동 878-8,35.2162369770536,126.846225156566,success,
2,숙박,관광호텔·호스텔,MGM관광호텔,MGM Tourist Hotel,2025-09-22,광주 광산구 우산동 1607-5,35.16105887264595,126.80552963032834,success,
3,체험/스포츠,공연장,북구청소년수련관,Buk-gu Youth Training Center,2025-09-22,광주 북구 문흥동 1009-1,35.1850290765256,126.916782871099,success,
4,숙박,관광호텔·호스텔,무등파크호텔,Mudeung Park Hotel,2025-09-22,광주 동구 지산동 산 63-1,35.14880237459654,126.94684085267919,success,
5,숙박,관광호텔·호스텔,벤틀리호텔,bentleyhotel,2025-09-22,광주 서구 치평동 1141-18,35.1490682986813,126.852268936662,success,
6,숙박,관광호텔·호스텔,피렌체관광호텔,Firenze Tourist Hotel,2025-09-22,광주 서구 치평동 1250-9,35.15085219702702,126.84942661235671,success,
7,숙박,관광호텔·호스텔,마스터스관광호텔,Masters Tourist Hotel,2025-09-22,광주 서구 치평동 1238-4,35.1522750174287,126.850537921119,success,
8,숙박,관광호텔·호스텔,라마다플라자 광주호텔,Ramada Plaza Gwangju Hotel,2025-09-22,광주 서구 치평동 1238-3,35.1520045938618,126.850525246063,success,
9,맛집,한식,하림가,Harimga,2025-09-22,광주 광산구 대산동 162-2,35.1333112238999,126.677072743957,success,
10,맛집,한식,동원게장백반,Dongwon Gejangbakban,2025-09-22,광주 동구 지산동 111,35.1490510412503,126.942648524609,success,
11,맛집,한식,최다연샤브샤브,Choi Da-yeon Shabu Shabu,2025-09-22,광주 서구 풍암동 1113-9,35.126186508792095,126.87839534699906,success,
12,맛집,한식,오얏리돌솥밥,Oyatri Dolsotbap,2025-09-22,광주 북구 두암동 285-20,35.1633497211582,126.934555631851,success,
13,맛집,일식,우미일식,Umiilsik,2025-09-22,울산 남구 무거동 1527-9,35.5495365639798,129.261422096249,success,
