연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
1,숙박,관광호텔·호스텔,엠파이어관광호텔,Empire Tourist Hotel,2025-09-22
2,숙박,관광호텔·호스텔,MGM관광호텔,MGM Tourist Hotel,2025-09-22
3,체험/스포츠,공연장,북구청소년수련관,Buk-gu Youth Training Center,2025-09-22
4,숙박,관광호텔·호스텔,무등파크호텔,Mudeung Park Hotel,2025-09-22
5,숙박,관광호텔·호스텔,벤틀리호텔,bentleyhotel,2025-09-22
6,숙박,관광호텔·호스텔,피렌체관광호텔,Firenze Tourist Hotel,2025-09-22
7,숙박,관광호텔·호스텔,마스터스관광호텔,Masters Tourist Hotel,2025-09-22
8,숙박,관광호텔·호스텔,라마다플라자 광주호텔,Ramada Plaza Gwangju Hotel,2025-09-22
9,맛집,한식,하림가,Harimga,2025-09-22
10,맛집,한식,동원게장백반,Dongwon Gejangbakban,2025-09-22
11,맛집,한식,최다연샤브샤브,Choi Da-yeon Shabu Shabu,2025-09-22
12,맛집,한식,오얏리돌솥밥,Oyatri Dolsotbap,2025-09-22
13,맛집,일식,우미일식,Umiilsik,2025-09-22
14,예술/문화,문화유산,광양 중흥산성 쌍사자 석등,Jungheung-sanseong Ssangsaja-seokdeung* (sanseong-mountain fortress;  Ssangsajaseokdeung-a pair of lion-shaped stone lan,2025-09-22
15,역사/전통,5·18/광주학생운동,광주학생독립운동발상지(광주일고),Gwangju Student Independence Movement Birthplace(Gwangju Jeil High School),2025-09-22
16,역사/전통,전통가옥/근대건축,"광주 서석초등학교 (본관, 체육관, 별관)","Gwangju Seoseok Elementary School (Main Building, Gymnasium, Separate Building)",2025-09-22
17,역사/전통,전통가옥/근대건축,광주 수창초등학교본관,Main Building of Gwangju Suchang Elementary School,2025-09-22
18,예술/문화,문화유산,고씨 삼강문,Go Clan Samgang Gate,2025-09-22
19,예술/문화,문화유산,금곡동 제철유적,Geumgok-dong Iron Making Relics,2025-09-22
20,예술/문화,문화유산,정지장군 예장석묘,General Jeong Ji’s Yejangseokmyo(picture-inscribed stone tomb),2025-09-22
21,예술/문화,문화유산,무진고성지,Hoetteuneun Maeul,2025-09-22
22,예술/문화,선비문화,월봉서원(빙월당),Wolbong Seowon-Confucian School(Bingwoldang),2025-09-22
23,예술/문화,문화유산,덕림사 지장보살상과 시왕상 및 그 권속,"Deongnimsa Jijangbosalsang, Siwangsang & Attached Statues (Buddhist statues)",2025-09-22
24,예술/문화,문화유산,전라남도 회의실 신축설계도,Jeollanam-do Conference Hall New Construction Blueprint,2025-09-22
25,역사/전통,사찰/기독교,광주 북동천주교회,Gwangju Buk-dong Catholic Church,2025-09-22
26,맛집,한식,금수저은수저,Geumsujeo Eunsujeo,2025-09-22
27,맛집,한식,옥천면옥,Okcheon Myeonok,2025-09-22
28,맛집,한식,마한지,Mahanji,2025-09-22
29,예술/문화,문화유산,전남도청 본관,Main Building of Former Jeollanam-do Government Office,2025-09-22
30,역사/전통,전통가옥/근대건축,조선대학교 본관,Chosun University Main Building  ,2025-09-22
31,예술/문화,문화유산,충효동 정려비각,Chunghyo-dong Jeongryeobigak(a filial woman’s piety monument house),2025-09-22
32,예술/문화,문화유산,칠석동 은행나무,Chilseok-dong Ginkgo Tree,2025-09-22
33,역사/전통,전통가옥/근대건축,허백련과 춘설헌,Heo Baekryeon Chunseolheon(tea field) ,2025-09-22
34,역사/전통,전통가옥/근대건축,장덕동 근대한옥,"House at 527, Jangdeok-dong, Gwangju Metropolitan City",2025-09-22
